Units,Weight ,Value,Country Name,Description,Commodity Code
99,35,1989,KUWAIT,HORSES FOR SPORT,01012910
122,37,1111,UNITED ARAB EMIRATES,HORSES FOR SPORT,01012910
318,132,4721,U.S.A,HORSES FOR SPORT,01012910
148,72,3490,GERMANY,HORSES FOR SPORT,01012910
141,40,2716,NETHERLANDS,HORSES FOR SPORT,01012910
135,62,2505,UNITED KINGDOM,HORSES FOR SPORT,01012910
363,106,3110,Other Countries,HORSES FOR SPORT,01012910
2169,320,2665,UNITED ARAB EMIRATES,OTHER BUFFALO ANIMALS,01023900
21030,4416,29866,DJIBOUTI,OTHER BUFFALO ANIMALS,01023900
19190,5074,25318,SOMALIA,OTHER BUFFALO ANIMALS,01023900
776,201,1718,Other Countries,OTHER BUFFALO ANIMALS,01023900
244447,10031,171018,JORDAN,OTHER SHEEP,01041090
85298,3074,29615,GEORGIA,OTHER SHEEP,01041090
4519076,114158,1496836,SUDAN,OTHER SHEEP,01041090
71480,1793,12306,DJIBOUTI,OTHER SHEEP,01041090
1405293,35583,506281,SOMALIA,OTHER SHEEP,01041090
772,27,651,Other Countries,OTHER SHEEP,01041090
3746,100,1918,JORDAN,OTHER GOATS,01042090
318887,6162,91610,SUDAN,OTHER GOATS,01042090
59612,1496,10525,DJIBOUTI,OTHER GOATS,01042090
1398279,35233,502706,SOMALIA,OTHER GOATS,01042090
755,18,360,Other Countries,OTHER GOATS,01042090
0,46,2339,JORDAN,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
0,3,1888,U.S.A,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
119025,6,2455,GERMANY,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
27774,13,5426,NETHERLANDS,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
182574,93,46026,UNITED KINGDOM,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
0,3,412,Other Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
0,33,1813,JORDAN,Other Fowls of the species Gallus domesticus,01059490
0,8,8520,U.S.A,Other Fowls of the species Gallus domesticus,01059490
0,7,5090,NETHERLANDS,Other Fowls of the species Gallus domesticus,01059490
0,63,30913,UNITED KINGDOM,Other Fowls of the species Gallus domesticus,01059490
0,20,4583,FRANCE,Other Fowls of the species Gallus domesticus,01059490
0,11,2565,Other Countries,Other Fowls of the species Gallus domesticus,01059490
1450,223,2742,KUWAIT,Camels for sport and beauty contests,01061320
19649,2033,20271,QATAR,Camels for sport and beauty contests,01061320
1520,428,2203,UNITED ARAB EMIRATES,Camels for sport and beauty contests,01061320
20744,4364,152808,SUDAN,Other of camels,01061390
1880,752,3392,DJIBOUTI,Other of camels,01061390
62451,18026,109044,SOMALIA,Other of camels,01061390
0,1043,45070,EGYPT,BEES,01064100
0,12,406,Other Countries,BEES,01064100
0,2232,31421,PAKISTAN,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,88,1880,INDIA,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,117,4308,AUSTRALIA,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,201,7399,CANADA,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,97,2147,Other Countries,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,5971,95642,PAKISTAN,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,301,6172,INDIA,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,243,9729,AUSTRALIA,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,60,1713,NEW ZEALAND,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,45,1400,Other Countries,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,261,4116,PAKISTAN,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,3541,71438,INDIA,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,3253,93456,AUSTRALIA,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,732,22001,NEW ZEALAND,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,80,6849,CANADA,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,8539,151307,BRAZIL,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,37,2197,NETHERLANDS,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,83,1633,Other Countries,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,1156,14200,INDIA,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,963,32739,AUSTRALIA,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,410,12622,CANADA,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,787,16391,BRAZIL,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,482,7064,NETHERLANDS,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,108,753,Other Countries,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,4508,55951,INDIA,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,938,22645,AUSTRALIA,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,420,4258,NEW ZEALAND,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,149,8394,CANADA,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,798,12287,BRAZIL,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,188,6020,NETHERLANDS,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,71,1066,Other Countries,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,233,2088,INDIA,MINCED MEAT OF BOVINE ANIMALS,02023010
0,168,3486,AUSTRALIA,MINCED MEAT OF BOVINE ANIMALS,02023010
0,248,8486,CANADA,MINCED MEAT OF BOVINE ANIMALS,02023010
0,14,150,Other Countries,MINCED MEAT OF BOVINE ANIMALS,02023010
0,54,1149,JORDAN,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
